DESCRIPCION,MODELO,COSTO,DIVISA,MONTO Bs,BOLIVARES
COLLARIN DE CROCHEt,S30,6,10,8713.091,11.3
COMPRESOR DE AIRE,S30,185,200,174261.82,226
COMPUTADORA AUTOMATICO,S30,120,135,117626.7285,152.55
COMPUTADORA SINCRONICO ,S30,120,135,117626.7285,152.55
CONCHAS DE BANCADA 0.30/010,S30,10,15,13069.6365,16.95
CONCHAS DE BANCADA 0.50/020,S30,10,15,13069.6365,16.95
CONCHAS DE BANCADA STD,S30,10,15,13069.6365,16.95
CONCHAS DE BIELA 0.30/010,S30,9,15,13069.6365,16.95
CONCHAS DE BIELA 0.50/020,S30,9,15,13069.6365,16.95
CONCHAS DE BIELA STD,S30,9,15,13069.6365,16.95
CONDENSADOR,S30,65,75,65348.1825,84.75
CONDENSADOR DE SEGURIDAD ,S30,18,25,21782.7275,28.25
COPA CAJA INTERIOR IZQUIERDA SINC,S30,26,35,30495.8185,39.55
COPA CAJA LARGA INTERNA SINC DERECHA,S30,45,55,47922.0005,62.15
CORREA DE ALTERNADOR  4PK850,S30,4,8,6970.4728,9.04
CORREA DE COMPRESOR 5PK1218,S30,6,10,8713.091,11.3
CORREO DE TIEMPO ORIGINAL,S30,22,40,34852.364,45.2
CORREA DE TIEMPO,S30,15,25,21782.7275,28.25
CUERPO DE ACELERACION,S30,80,100,87130.91,113
DISCO DE CROCHET,S30,26,35,30495.8185,39.55
DISCO DE FRENO DELANTERO,S30,23,35,30495.8185,39.55
DISCO DE FRENO TRASERO,S30,18,35,30495.8185,39.55
EJE DEL TUNEL TRASERO ,S30,15,30,26139.273,33.9
ELECTROVENTILADOR,S30,45,60,52278.546,67.8
EMPACADURA DE CAMARA,S30,5,7,6099.1637,7.91
EMPACADURA DE TAPA VALVULA,S30,4,7,6099.1637,7.91
ENGRANAJE DE ADMISION,S30,15,20,17426.182,22.6
ENGRANAJE DE ESCAPE,S30,15,20,17426.182,22.6
ENVASE DE ACEITE DE DIRECCION,S30,18,30,26139.273,33.9
ENVASE REFRIGERANTE,S30,22,35,30495.8185,39.55
ESTOPERA ARBOL DE LEVA,S30,1.5,5,4356.5455,5.65
ESTOPERA DE CIGÜEÑAL DELANTERA,S30,2.5,5,4356.5455,5.65
ESTOPERA DE COPA CAJA DERECHA P SINCRONICO ,S30,2,5,4356.5455,5.65
ESTOPERA DE COPA CAJA IZQUIERDA G SINCRONICO,S30,2.5,5,4356.5455,5.65
ESTOPERA TRASERA DE CIGÜEÑAL ,S30,4,7,6099.1637,7.91
FARO DELANTERO DERECHO,S30,100,110,95844.001,124.3
FARO DELANTERO IZQUIERDO,S30,100,110,95844.001,124.3
FILTRO AIRE DE MOTOR,S30,6,10,8713.091,11.3
FILTRO DE ACEITE,S30,2.5,5,4356.5455,5.65
FILTRO DE GASOLINA,S30,3,5,4356.5455,5.65
FLOTANTE DE GASOLINA,S30,8,15,13069.6365,16.95
GANCHO DE REPARACION CALIPER TRASERO,S30,6,10,8713.091,11.3
GORROS DE VALVULA,S30,5,10,8713.091,11.3
GUAYA DE CAPOT,S30,6,10,8713.091,11.3
GUAYA DE CROCHET,S30,5,15,13069.6365,16.95
GUAYA DE FRENO DE MANO IZQUIERDO 174CM,S30,8.504,15,13069.6365,16.95
GUAYA FRENO DE MANO DERECHA 165CM,S30,8.504,15,13069.6365,16.95
GUIA DE COLLARIN,S30,4,10,8713.091,11.3
GUIA DE VALVULAS,S30,20,25,21782.7275,28.25
INYECTOR DE GASOLINA,S30,10,15,13069.6365,16.95
KIT CHUPON DE BOBINA ENCENDIDO,S30,6,10,8713.091,11.3
KIT DE CROCHET (VALEO),S30,65,75,65348.1825,84.75
KIT DE EMPACADURA,S30,22,30,26139.273,33.9
KIT DE ESTOPERAS TUNEL TRASERO,S30,4,10,8713.091,11.3
KIT DE GOMA DE COPA CAJA,S30,7,10,8713.091,11.3
KIT DE GOMA  DE PUNTA,S30,7,10,8713.091,11.3
KIT DE REPARACION DE CAJETIN DIRECCION,S30,15,25,21782.7275,28.25
KIT DE REPARACION DE CALIPER SIN ANTIRUIDOS,S30,5,10,8713.091,11.3
KIT DE REPARACION DE CALIPER CON ANTIRUIDOS,S30,10,15,13069.6365,16.95
KIT DE TIEMPO CORREA CLASE A,S30,40,60,52278.546,67.8
KIT DE TIEMPO DOBLE COSTURA COMPLETO ORIGINAL,S30,46.5,80,69704.728,90.4
LAPIZ DE BIELETA,S30,4.5,8,6970.4728,9.04
MANGUERA ENFRIADOR DE ACEITE SALIDA DE CAJA,S30,20,25,21782.7275,28.25
MANGUERA ENFRIADOR DE CAJA ATM,S30,18,25,21782.7275,28.25
MANGUERA DE CALIPER DE FRENO DELANTERA ,S30,6,10,8713.091,11.3
MANGUERA DE CALIPER DE FRENO TRASERA,S30,5.504,10,8713.091,11.3
MANDO ELEVAVIDRIO IZQUIERDO PRINCIPAL,S30,25,30,26139.273,33.9
MANGERA DE GASES,S30,15,20,17426.182,22.6
MANGUERA ACORDEON,S30,8,15,13069.6365,16.95
MANGUERA DE CARCAZA DE FILTRO,S30,15,20,17426.182,22.6
MANGUERA INFERIOR DE RADIADOR,S30,5.6,12,10455.7092,13.56
MANGUERA SUPERIOR DE RADIADOR ,S30,5,12,10455.7092,13.56
MANILLA INTERNA DERECHA,S30,8,12,10455.7092,13.56
MANILLA EXTERNA TRASERA  DERECHA,S30,8.5,15,13069.6365,16.95
MANILLA EXTERNA TRASERA  IZQUIERDA,S30,8.5,15,13069.6365,16.95
MECANISMO LIMPIAPARABRISAS ,S30,35.5,45,39208.9095,50.85
MESETA DELANTERA DERECHA,S30,33.504,40,34852.364,45.2
MESETA DELANTERA IZQUIERDA,S30,33.504,40,34852.364,45.2
MICA DE RETROVISOR DERECHA,S30,13,20,17426.182,22.6
MICA DE RETROVISOR IZQUIERDA,S30,13,20,17426.182,22.6
MOLDURA DE CAPOT,S30,20,25,21782.7275,28.25
MOTOR ELEVA VIDRIO DELANTERO IZQUIERDO,S30,28,35,30495.8185,39.55
MOTOR ELEVA VIDRIO TRASERO IZQUIERDO,S30,25,35,30495.8185,39.55
MOTOR ELEVA VIDRO DELANTERO DERECHO ,S30,28,35,30495.8185,39.55
MOTOR ELEVAVIDRIO TRASERO DERECHO,S30,25,35,30495.8185,39.55
MOTOR LIMPIA PARABRISA9-+-,S30,25,35,30495.8185,39.55
MOTOR SOPLADOR AIRE ACONDICIONADO ,S30,55,65,56635.0915,73.45
MOZO / CUBO DE RUEDA DELANTERO,S30,18,25,21782.7275,28.25
MOZO / CUBO DE RUEDA TRASERO,S30,37,47,40951.5277,53.11
MUÑON,S30,4.504,10,8713.091,11.3
PARACHOQUE DELANTERO,S30,115,135,117626.7285,152.55
PARRILLA DE PARACHOQUE,S30,55.04,65,56635.0915,73.45
PASTILLAS DE FRENO DELANTERO,S30,9,15,13069.6365,16.95
PASTILLAS DE FRENO TRASERA,S30,9,15,13069.6365,16.95
PILA DE GASOLINA 2068 MARCA DENSO,S30,6,10,8713.091,11.3
PILA DE GASOLINA BOSCH 2068 UNIVERSAL,S30,6,10,8713.091,11.3
PIÑON DE CIGÜEÑAL,S30,10,15,13069.6365,16.95
PISTONES 0.25/010,S30,40,45,39208.9095,50.85
PISTONES 0.50/020,S30,40,45,39208.9095,50.85
PISTONES 0.75/030,S30,50,55,47922.0005,62.15
PISTONES STD,S30,40,45,39208.9095,50.85
PLATO DE CROCHET,S30,35,50,43565.455,56.5
POLEA CON BASE,S30,10,18,15683.5638,20.34
POLEA DE TIEMPO,S30,12,18,15683.5638,20.34
POLEA DE TIEMPO LITENS,S30,17,30,26139.273,33.9
POMO DE PALANCA AUTOMATICO,S30,10,20,17426.182,22.6
POMO DE PALANCA SINCRONICO COMPLETO,S30,12,20,17426.182,22.6
PRE-FILTRO BOMBA DE GASOLINA,S30,2,5,4356.5455,5.65
PUNTA DE TRIPOIDE 25*30,S30,26,35,30495.8185,39.55
RADIADOR AUTOMATICO,S30,70,80,69704.728,90.4
RADIADOR SINCRONICO,S30,65,75,65348.1825,84.75
REGULADOR DE ALTERNADOR ,S30,12,20,17426.182,22.6
REGULADOR DE GASOLINA (GORDO),S30,6,12,10455.7092,13.56
RELE AZUL,S30,4,12,10455.7092,13.56
RELE VERDE 12V/45A-03653,S30,4,12,10455.7092,13.56
RESISTENCIA DE ELECTROVENTILADOR,S30,8,12,10455.7092,13.56
RODAMIENTO DALENTERO,S30,10,20,17426.182,22.6
RODAMIENTO DE AMORTIGUADOR,S30,5.5,8,6970.4728,9.04
RODAMIENTO EXTERNO DE PUENTE TRASERO,S30,2,3,2613.9273,3.39
RODAMIENTO INTERNO DE PUENTE TRASERO,S30,2,3,2613.9273,3.39
ROLINERA DE COPA CAJA,S30,5.504,8,6970.4728,9.04
ROTULA,S30,5,8,6970.4728,9.04
SENSOR ABS DELANTERO,S30,9,15,13069.6365,16.95
SENSOR ABS TRASERO,S30,9,15,13069.6365,16.95
SENSOR DE OXIGENO DELANTERO,S30,18,25,21782.7275,28.25
SENSOR DE OXIGENO TRASERO,S30,18,25,21782.7275,28.25
SENSOR DE RETROCESO ,S30,6,15,13069.6365,16.95
SENSOR DE TEMPERATURA 3 PIN,S30,8,15,13069.6365,16.95
SENSOR DE VELOCIDAD SINCRONICO,S30,10,15,13069.6365,16.95
SENSOR PARE-NEUTRO,S30,25,30,26139.273,33.9
SENSOR MAP,S30,15,25,21782.7275,28.25
SENSOR POSICION DE CIGÜEÑAL AUTOMATICO,S30,20,30,26139.273,33.9
SENSOR POSICION DE CIGÜEÑAL SINCRONICO,S30,10,20,17426.182,22.6
TANQUE DE GASOLINA ,S30,200,230,200401.093,259.9
TAPA BOMBA DE GASOLINA,S30,10,15,13069.6365,16.95
TAPA DE ACEITE DE  MOTOR ,S30,3.5,8,6970.4728,9.04
TAPA DE ENVASE REFRIGERANTE,S30,7,10,8713.091,11.3
TAPA DE RADIADOR INFERIOR AUTOMATICO,S30,12,18,15683.5638,20.34
TAPA DE RADIDOR INFERIOR SINCRONICO ,S30,12,18,15683.5638,20.34
TAPA FILTRO DE ACEITE,S30,8,15,13069.6365,16.95
TAPA RIN,S30,3,6,5227.8546,6.78
TAPON CARTE DE ACEITE,S30,2.6,5,4356.5455,5.65
TAQUETES 16 UND,S30,70,85,74061.2735,96.05
TENSOR DE TIEMPO,S30,20,30,26139.273,33.9
TENSOR DE TIEMPO LITENS,S30,29,45,39208.9095,50.85
TERMINAL DE DIRECION,S30,4,8,6970.4728,9.04
TERMOTASTO DE MOTOR ,S30,8,15,13069.6365,16.95
TOMA DE TERMOSTATO,S30,6,12,10455.7092,13.56
TRICETA  22X30,S30,5,10,8713.091,11.3
TUBERIA DE AGUA aplica para el sincronico,S30,18,25,21782.7275,28.25
TUNEL TRASERo,S30,95,110,95844.001,124.3
VALVULA  DE ESCAPE,S30,12,20,17426.182,22.6
VALVULA DE ADMISION,S30,12,20,17426.182,22.6
VALVULA DE EXPANSION A/AC,S30,10,15,13069.6365,16.95
VALVULA PCV,S30,8,15,13069.6365,16.95
VALVULA PRESION DE ACEITE,S30,4,10,8713.091,11.3
VALVULA PRESOSTATICA A/AC,S30,11,16,13940.9456,18.08
VOLANTE DE MOTOR,S30,45,60,52278.546,67.8
WIPER BOMBA LIMPIA RAABRISA,S30,5,10,8713.091,11.3
AMORTIGUADOR DELANTERO DERECHO,HAIMA7,45,55,47922.0005,62.15
AMORTIGUADOR DELANTERO IZQUIERDO,HAIMA7,45,55,47922.0005,62.15
AMORTIGUADOR TRASERO,HAIMA7,25,35,30495.8185,39.55
AIRBAG DE VOLANTE  COMPLETO ,HAIMA7,125,150,130696.365,169.5
AMRTIGUADOR DE COMPUERTA TRASERA ,HAIMA7,7.504,10,8713.091,11.3
"ANILLOS 0,25/010",HAIMA 7,23,30,26139.273,33.9
"ANILLOS 0,50/020",HAIMA 7,23,30,26139.273,33.9
ANILLOS STD,HAIMA7,23,30,26139.273,33.9
ARRANQUE DE MOTOR,HAIMA7,75,95,82774.3645,107.35
BASE DE AMORTIGUADOR,HAIMA 7,10,15,13069.6365,16.95
BASE DELANTERA DERECHA AUTOMATICA,HAIMA 7,25,35,30495.8185,39.55
BASE DELANTERA IZQUIERDA AUTOMATICA ,HAIMA 7,18,25,21782.7275,28.25
BASE DELANTERA DERECHA SINCRONICA,HAIMA 7,25,35,30495.8185,39.55
BASE DELANTERA IZQUIERDA SINCRONICA,HAIMA 7,32,40,34852.364,45.2
BASE FRONTAL AM/TM,HAIMA 7,11,25,21782.7275,28.25
BASE TRASERA AUTOMATICO,HAIMA 7,16,25,21782.7275,28.25
BASE TRASERA SINCRONICA,HAIMA 7,17,25,21782.7275,28.25
BOBINA DE ENCENDIDO,HAIMA7,14,25,21782.7275,28.25
BOMBA DE ACEITE,HAIMA 7,120,135,117626.7285,152.55
BOMBA DE AGUA,HAIMA 7,21.5,35,30495.8185,39.55
BOMBA DE DIRECCION,HAIMA 7,95,120,104557.092,135.6
BOMBA DE GASOLINA,HAIMA 7,45,60,52278.546,67.8
BOMBIN INFERIOR,HAIMA 7,10,20,17426.182,22.6
BOMBIN SUPERIOR,HAIMA 7,15,25,21782.7275,28.25
BUJE BARRA ESTABILIZADORA,HAIMA 7,2.5,5,4356.5455,5.65
BUJE DE MESETA GRANDE,HAIMA7,5,10,8713.091,11.3
BUJE DE MESETA PEQUEÑO,HAIMA 7,3,10,8713.091,11.3
BUJIAS NGK (4 UNIDADES),HAIMA 7,1.2,10,8713.091,11.3
BUJIAS NGK (4 UNIDADES),HAIMA 7,6,10,8713.091,11.3
BUJIAS DENSO CAJA AMARILLA (4 UND PUNTA IRIDIUM ),HAIMA 7,6,10,8713.091,11.3
BUJIAS DENSO CAJA AZUL (4 UND PUNTA IRIDIUM),HAIMA 7,6,10,8713.091,11.3
BUJIAS TORCH 3 PUNTAS (4 UNIDADES),HAIMA 7,6,10,8713.091,11.3
CAMARA COMPLETA ,HAIMA 7,990,1100,958440.01,1243
CARCAZA DE FILTRO DE MOTOR ,HAIMA 7,48,60,52278.546,67.8
CERRADURA DE GUANTERA BEIS,HAIMA 7,4.504,10,8713.091,11.3
CERRADURA DE GUANTERA NEGRA ,HAIMA 7,4.504,10,8713.091,11.3
CERRADURA DE GUANTERA PARA LLAVE BEIS,HAIMA 7,4.504,10,8713.091,11.3
CERRADURA DE GUANTERA PARA LLAVE NEGRO,HAIMA 7,4.504,10,8713.091,11.3
COLLARIN,HAIMA 7,8,12,10455.7092,13.56
COMPRESOR A/C,HAIMA7,240,260,226540.366,293.8
COMPUTADORA,HAIMA 7,85,100,87130.91,113
COMPUTDORA ANTI-ROBO,HAIMA 7,150,170,148122.547,192.1
CONCHAS DE BANCADA 0.25/010,HAIMA 7,10,15,13069.6365,16.95
CONCHAS DE BANCADA 0.50/020,HAIMA 7,10,15,13069.6365,16.95
CONCHAS DE BANCADA STD,HAIMA 7,10,15,13069.6365,16.95
CONCHAS DE BIELA 0.25/010,HAIMA 7,9,15,13069.6365,16.95
CONCHAS DE BIELA 0.50/020,HAIMA 7,9,15,13069.6365,16.95
CONCHAS DE BIELA STD,HAIMA7,9,15,13069.6365,16.95
DAMPER DE CIGÜEÑAL,HAIMA7,35,45,39208.9095,50.85
DISCO DE FRENO DELANTERO ,HAIMA7,36,45,39208.9095,50.85
DISCO DE CROCHET,HAIMA 7,26,35,30495.8185,39.55
EMPACADURA DE CAMARA AMIANTO,HAIMA 7,3.5,6,5227.8546,6.78
EMPACADURA DE CAMARA METAL,HAIMA 7,8,15,13069.6365,16.95
EMPACADURA DE TAPA VALVULA,HAIMA 7,4,6,5227.8546,6.78
ENVASE DE REFRIGERANTE,HAIMA 7,35,45,39208.9095,50.85
FILTRO DE aire motor ,HAIMA 7,11,17,14812.2547,19.21
FILTRO DE GASOLINA,HAIMA 7,4.504,8,6970.4728,9.04
FLOTANTE DE GASOLINA,HAIMA 7,8,15,13069.6365,16.95
FUSIBLE 125A PAQUETE (5 UNIDADES),HAIMA 7,7.504,15,13069.6365,16.95
GUAYA SELECTORA DE CAMBIO AUTOMATICA 500M1,HAIMA 7,20,30,26139.273,33.9
GUAYA DE CAMBIO AUTOMATICA 300M1 (CON VALVULA DE FRENO),HAIMA 7,42,50,43565.455,56.5
GUAYA DE CAPOT,HAIMA 7,8.504,12,10455.7092,13.56
INMOVILIZADOR,HAIMA 7,30,40,34852.364,45.2
INYECTOR DE GASOLINA,HAIMA7,15,20,17426.182,22.6
KIT DE EMPACADURA ,HAIMA7,29,35,30495.8185,39.55
KIT CHUPONES DE BOBINAS CON SELLOS DE BUJIAS ,HAIMA7,7,15,13069.6365,16.95
KIT DE CROCHET -PHC VALEO-,HAIMA 7,65,80,69704.728,90.4
KIT DE CADENA DE TIEMPO,HAIMA 7,65,80,69704.728,90.4
LAPIZ DE BIELETA DERECHO,HAIMA 7,4.5,8,6970.4728,9.04
LAPIZ DE BIELETA IZQUIERDO,HAIMA 7,4.5,8,6970.4728,9.04
MANGUERA TOMA DE AIRE PURIFICADORA ,HAIMA 7,25,35,30495.8185,39.55
MANGUERA DE RADIADOR  SUPERIRO 186,HAIMA7,7,12,10455.7092,13.56
MANGUERA DE RADIADOR  INFERIOR 185,HAIMA7,7,12,10455.7092,13.56
MANGUERA DE TANQUE DE GASOLINA (2 UND),HAIMA 7,14,20,17426.182,22.6
MANDO ELEVA VIDRIO DERECHO,HAIMA 7,3.504,10,8713.091,11.3
MANDO ELEVA VIDRIO PRINCIPAL,HAIMA 7,15,20,17426.182,22.6
MANILLA EXTERNA DELANTERA IZQUIERDA ,HAIMA 7,20,25,21782.7275,28.25
MANILLA EXTERNA DELANTERA DERECHA,HAIMA 7,20,25,21782.7275,28.25
MANILLA EXTERNA TRASERA DERECHA,HAIMA 7,20,25,21782.7275,28.25
MANILLA EXTERNA TRASERA IZQUIERDA ,HAIMA 7,20,25,21782.7275,28.25
MANILLA INTERNA DERECHA,HAIMA 7,8,12,10455.7092,13.56
MANILLA INTERNA IZQUIERDA,HAIMA 7,8,12,10455.7092,13.56
MICRO-FILTRO BLOQUE DE MOTOR,HAIMA 7,5,10,8713.091,11.3
MOZO / CUBO DE RUEDA DELANTERO,HAIMA 7,25,35,30495.8185,39.55
MUÑON DE MESETA LISO,HAIMA7,5,10,8713.091,11.3
PASTILLAS DE FRENO DELANTERA,HAIMA 7,17,25,21782.7275,28.25
PASTILLAS DE FRENO TRASERA,HAIMA7,15,25,21782.7275,28.25
PLATO DE CROCHET,HAIMA 7,36,45,39208.9095,50.85
PORTA ESTOPERA DE CIGUAÑAL TRASERA ,HAIMA 7,17,25,21782.7275,28.25
PRE-FILTRO DE GASOLINA,HAIMA7,3.5,8,6970.4728,9.04
PUNTA DE TRIOIDE COMPLETA DERECHA 8135A,HAIMA7,75,90,78417.819,101.7
PUNTA DE TRIOIDE COMPLETA IZQUIERDA 8134A,HAIMA 7,75,90,78417.819,101.7
PUNTA DE TRIPOIDE 28*24,HAIMA7,32,45,39208.9095,50.85
RADIADOR ,HAIMA 7,91,110,95844.001,124.3
RESISTENCIA A/AC,HAIMA 7,20,25,21782.7275,28.25
ROLINERA DE AMORTIGUADOR,HAIMA 7,3.5,8,6970.4728,9.04
ROTULA,HAIMA 7,6,10,8713.091,11.3
SELENOIDE DE VVT ADMISION 479Q,HAIMA 7,15,25,21782.7275,28.25
SELENOIDE DE VVT ESCAPE 484Q,HAIMA 7,15,25,21782.7275,28.25
SENSOR ARBOL DE LEVA,HAIMA 7,10,15,13069.6365,16.95
SENSOR DE OXIGENO,HAIMA 7,18.504,25,21782.7275,28.25
SENSOR DE POCIOSION DE CIGÜEÑAL ,HAIMA 7,8,15,13069.6365,16.95
SENSOR MAF BOSCH,HAIMA 7,33,40,34852.364,45.2
TAPA RIN ,HAIMA 7,3,6,5227.8546,6.78
TAPA DE GASOLINA ,HAIMA 7,5,10,8713.091,11.3
TAPA DE BOMBA DE GASOLINA,HAIMA 7,10,15,13069.6365,16.95
TERMINAL DE DIRECCION,HAIMA 7,5,10,8713.091,11.3
TERMOSTATO,HAIMA 7,9,15,13069.6365,16.95
VALVULA PCV,HAIMA 7,6,10,8713.091,11.3
VALVULA PEDEAL DE FRENO ,HAIMA 7,7,15,13069.6365,16.95
VARILLA DE MEDIR ACEITE ,HAIMA 7,5,10,8713.091,11.3
VALVULA PRESION DE ACEITE ,HAIMA 7,3.504,10,8713.091,11.3
VALVULA DE TEMPRATURA 3PIN,HAIMA7,5,10,8713.091,11.3
VALVULA PRESostatica A/AC,HAIMA 7,10,15,13069.6365,16.95
VVT DE ADMISION ,HAIMA 7,65,80,69704.728,90.4
VVT DE ESCAPE,HAIMA 7,65,80,69704.728,90.4
ALTERNADOR,ZOTYE,115,135,117626.7285,152.55
AMORTIGUADOR DELANTERO DERECHO,ZOTYE,35,45,39208.9095,50.85
AMORTIGUADOR DELANTERO IZQUIERDO,ZOTYE,35,45,39208.9095,50.85
AMORTIGUADOR TRASERO,ZOTYE,15,25,21782.7275,28.25
ANILLOS 0.25/010 1.3,ZOTYE,15,20,17426.182,22.6
ANILLOS 0.25/010 1.6,ZOTYE,15,20,17426.182,22.6
ANILLOS 0.50/020 1.3,ZOTYE,15,20,17426.182,22.6
ANILLOS 0.50/020 1.6,ZOTYE,15,20,17426.182,22.6
ANILLOS STD 1.3,ZOTYE,15,20,17426.182,22.6
ANILLOS STD 1.6,ZOTYE,15,20,17426.182,22.6
ARRANQUE ,ZOTYE,85,100,87130.91,113
ARBOL DE LEVA,ZOTYE,33,45,39208.9095,50.85
Balancin O Martillo De Valvulas A,ZOTYE,6,10,8713.091,11.3
Balancin O Martillo De Valvulas B,ZOTYE,6,10,8713.091,11.3
Balancin O Martillo De Valvulas C,ZOTYE,6,10,8713.091,11.3
BANDAS DE FRENO,ZOTYE,15,20,17426.182,22.6
BASE DE AMORTIGUADOR,ZOTYE,10,15,13069.6365,16.95
BASE DE MOTOR DERECHA,ZOTYE,10,15,13069.6365,16.95
BASE DE MOTOR IZQIERDA  (CAJA),ZOTYE,12,20,17426.182,22.6
BOBINA DE ENCENDIDO,ZOTYE,14,25,21782.7275,28.25
BOMBA DE ACEITE,ZOTYE,65,80,69704.728,90.4
BOMBA DE AGUA,ZOTYE,19,25,21782.7275,28.25
BOMBA DE DIRECCION ,ZOTYE,75,95,82774.3645,107.35
BOMBA DE FRENO,ZOTYE,29,35,30495.8185,39.55
BOMBA DE FRENO CON ENVASE,ZOTYE,37,45,39208.9095,50.85
BOMBA DE GASOLINA,ZOTYE,45,55,47922.0005,62.15
BOMBIN SUPERIOR,ZOTYE,15,25,21782.7275,28.25
BOMBIN INFERIOR marca Jiechi,ZOTYE,9,15,13069.6365,16.95
BUJE DE BARRA ESTABILIZADORA,ZOTYE,2,5,4356.5455,5.65
BUJE DE MESETA DELANTERA GRANDE,ZOTYE,4,8,6970.4728,9.04
BUJE DE MESETA DELANTERA PEQUEÑO,ZOTYE,3,6,5227.8546,6.78
BUJIAS NGK (4 UNIDADES),ZOTYE,6,10,8713.091,11.3
BUJIAS DENSO CAJA AMARILLA (4 UND PUNTA IRIDIUM ),ZOTYE,6,10,8713.091,11.3
BUJIAS DENSO CAJA AZUL (4 UND PUNTA IRIDIUM),ZOTYE,6,10,8713.091,11.3
BUJIAS TORCH 3 PUNTAS (4 UNIDADES),ZOTYE,6,10,8713.091,11.3
CABLES DE BUJIAS,ZOTYE,6,10,8713.091,11.3
CAJETIN DE DIRECCION COMPLETO (SIN TERMINALES),ZOTYE,220,240,209114.184,271.2
CARCAZA FILTRO DE AIRE ,ZOTYE,35,40,34852.364,45.2
COLLARIN,ZOTYE,4,10,8713.091,11.3
CIGÜEÑAL 1.6,ZOTYE,109,125,108913.6375,141.25
CILINDRO DE FREBO DERECHO,ZOTYE,6,10,8713.091,11.3
CILINDRO DE FRENO IZQUIERDO,ZOTYE,6,10,8713.091,11.3
COCNHAS DE BANCADA 025/010,ZOTYE,10,15,13069.6365,16.95
COMPRESOR ,ZOTYE,215,235,204757.6385,265.55
CONCHAS DE BANCADA STD,ZOTYE,10,15,13069.6365,16.95
CONCHAS DE BIELA 025/010,ZOTYE,5,10,8713.091,11.3
CONCHAS DE BILA STD,ZOTYE,5,10,8713.091,11.3
CONMUTADOR DE ENCENDIDO,ZOTYE,8,15,13069.6365,16.95
CONMUTADOR DE LUCES,ZOTYE,32,45,39208.9095,50.85
CONTROL ELEVA VIDRIO DERECHO,ZOTYE,12,20,17426.182,22.6
CONTROL ELEVA VIDRIO IZQIERDO,ZOTYE,18,25,21782.7275,28.25
CORREA DE ALTERNADOR 5PK865,ZOTYE,4,10,8713.091,11.3
CORREA DE TEMPO,ZOTYE,13,25,21782.7275,28.25
CORREA MULTIFUNCIONAL 5PK1050,ZOTYE,4.5,10,8713.091,11.3
CRUCETA,ZOTYE,7,12,10455.7092,13.56
CHUMASERA ,ZOTYE,10,15,13069.6365,16.95
DAMPER,ZOTYE,28,40,34852.364,45.2
DISCO DE CROCHET,ZOTYE,26,35,30495.8185,39.55
ELECTROVENTILADOR ,ZOTYE,80,95,82774.3645,107.35
EMPACADURA DE CAMARA MOTOR 1.3,ZOTYE,2.5,5,4356.5455,5.65
EMPACADURA DE CAMARA MOTOR 1.6,ZOTYE,2.5,5,4356.5455,5.65
EMPACADURA DE TAPA VALVULA,ZOTYE,3,5,4356.5455,5.65
ESTOPERA ARBOL DE LEVA,ZOTYE,2,5,4356.5455,5.65
ESTOPERA DELANTERA DE CIGÜEÑAL,ZOTYE,2,5,4356.5455,5.65
ESTOPERA TRASERA DE CIGÜEÑAL,ZOTYE,3,5,4356.5455,5.65
FILTRO DE ACEITE ,ZOTYE,3,5,4356.5455,5.65
FILTRO DE AIRE MOTOR,ZOTYE,7,12,10455.7092,13.56
FLOTATANTE DE GASOLINA ,ZOTYE,8,15,13069.6365,16.95
GORROS DE VALVULAS,ZOTYE,5,10,8713.091,11.3
GUAYA DE ACELERACION,ZOTYE,4,10,8713.091,11.3
GUAYA SELECTORA DE CAMBIOS,ZOTYE,10,15,13069.6365,16.95
INYECTOR DE GASOLINA,ZOTYE,12,20,17426.182,22.6
KIT DE CROCHET marca Hong Xie,ZOTYE,65,75,65348.1825,84.75
KIT DE EMPACADURA,ZOTYE,15,25,21782.7275,28.25
KIT DE TIEMPO CORREA Y TENSOR ,ZOTYE,16.5,30,26139.273,33.9
LAPIZ DE BIELETA C/U,ZOTYE,3,6,5227.8546,6.78
MANGUERA DE AIRE DE MOTOR ,ZOTYE,33,45,39208.9095,50.85
MANILLA DELANTERA EXTERNA DERECHA,ZOTYE,4,8,6970.4728,9.04
MANILLA DELANTERA EXTERNA IZQUIERDA,ZOTYE,4,8,6970.4728,9.04
MANILLA INTERNA DERECHA,ZOTYE,4,8,6970.4728,9.04
MANILLA INTERNA IZQUIERDA,ZOTYE,4,8,6970.4728,9.04
MESETA DELANTERA DERECHA,ZOTYE,32,45,39208.9095,50.85
MESETA DELANTERA IZQUIERDA,ZOTYE,32,45,39208.9095,50.85
MOTOR LIMPIA PARABRISA,ZOTYE,25,35,30495.8185,39.55
MOZO DELANTERO ,ZOTYE,22,30,26139.273,33.9
ODOMETRO DE VELOCIDAD,ZOTYE,10,15,13069.6365,16.95
PASTILLAS DE FRENO,ZOTYE,8,15,13069.6365,16.95
PARACHOQUE DELANTERO,ZOTYE,100,120,104557.092,135.6
PARACHOQUE TRASERO,ZOTYE,100,120,104557.092,135.6
PILA DE GASOLINA 2068 MARCA DENSO,ZOTYE,6,10,8713.091,11.3
PILA DE GASOLINA BOSCH 2068 UNIVERSAL,ZOTYE,6,10,8713.091,11.3
PIÑON DE CIGÜEÑAL,ZOTYE,9,15,13069.6365,16.95
